date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,venue_uuid,game_uuid
2022-12-05 00:00:00+00:00,3.0,29.4719,18.6719,24.6269,21.21557,8.933716,16.090635,0,0,32201.861,9679.795,0.0,0.0,0.0,0.0,9.36606,17.2249,280.95398,5.48,0.02421847,8d50ac8c-2038-79ea-a7a6-385c79362701,967c480f-2153-6f07-48d5-803cd1a960d4
2022-12-02 00:00:00+00:00,3.0,50.019802,29.7698,38.676052,37.17343,17.761398,26.174698,0,0,33636.816,7200.0,0.0,0.0,0.0,0.0,23.264801,33.555,188.72769,4.17,0.08316907,0ca82913-10b8-b768-40b5-63a40b632c5a,6ef5a284-6e37-48fb-625e-84d9c759573e
2022-12-03 00:00:00+00:00,51.0,49.2098,23.9198,35.7548,39.692387,10.370201,23.700602,0,0,33559.98,29737.174,0.0118110245,0.0118110245,0.0,1.0,25.565495,38.029,256.22964,9.15,0.053146638,0ca82913-10b8-b768-40b5-63a40b632c5a,6ef5a284-6e37-48fb-625e-84d9c759573e
2022-12-04 00:00:00+00:00,0.0,38.0498,20.5898,26.953552,26.10374,10.070776,15.910193,0,0,33486.96,29656.79,0.0,0.0,0.0,0.0,15.441782,23.9359,237.23103,9.0,0.058137566,0ca82913-10b8-b768-40b5-63a40b632c5a,6ef5a284-6e37-48fb-625e-84d9c759573e
2022-12-05 00:00:00+00:00,3.0,42.9998,28.8698,33.722298,37.04104,17.212488,23.773878,0,0,33417.914,10888.922,0.0,0.0,0.0,0.0,14.588602,20.580399,208.00818,4.9,0.050686914,0ca82913-10b8-b768-40b5-63a40b632c5a,6ef5a284-6e37-48fb-625e-84d9c759573e
2022-12-02 00:00:00+00:00,3.0,59.036,36.986,45.640995,53.604675,29.41926,38.90118,0,0,36216.13,24542.037,0.0,0.0,0.0,0.0,10.599226,19.461899,109.88248,9.71,0.07394932,bf65035d-301f-4864-b4f8-030fa7ce62bf,516b31ef-1255-e3ab-3f49-83272115b45f
2022-12-03 00:00:00+00:00,63.0,65.606,48.506,55.672245,65.97664,44.17722,53.06314,0,0,36160.523,15691.133,0.33858266,0.33858266,0.0,6.0,10.5424185,21.0278,181.30193,5.9,0.04304263,bf65035d-301f-4864-b4f8-030fa7ce62bf,516b31ef-1255-e3ab-3f49-83272115b45f
2022-12-04 00:00:00+00:00,51.0,59.756,43.916,52.357258,61.663967,39.684013,49.49754,0,0,36107.707,32400.0,0.015748031,0.015748031,0.0,2.0,7.9437127,13.869399,315.4768,9.88,0.05785525,bf65035d-301f-4864-b4f8-030fa7ce62bf,516b31ef-1255-e3ab-3f49-83272115b45f
2022-12-05 00:00:00+00:00,61.0,52.646,48.776,50.1485,48.276455,43.422745,45.890583,0,0,36057.79,0.0,0.507874,0.507874,0.0,11.0,11.4087,20.8041,92.501564,2.42,0.024868103,bf65035d-301f-4864-b4f8-030fa7ce62bf,516b31ef-1255-e3ab-3f49-83272115b45f
2022-12-02 00:00:00+00:00,1.0,44.7719,25.0619,33.000652,37.51218,17.819107,26.281733,0,0,34325.75,30366.512,0.0,0.0,0.0,0.0,6.0233064,11.8561,270.51846,9.76,0.042269997,61209cf8-2f1c-16c8-aca0-467e502065e6,b0d4707e-3522-f1ee-dc42-aaa2ebaa4caf
2022-12-03 00:00:00+00:00,61.0,58.901897,36.6719,50.126904,52.963478,29.97678,43.583344,0,0,34254.723,7200.0,0.3700787,0.3700787,0.0,8.0,19.149555,34.0024,208.1855,2.34,0.0349705,61209cf8-2f1c-16c8-aca0-467e502065e6,b0d4707e-3522-f1ee-dc42-aaa2ebaa4caf
2022-12-04 00:00:00+00:00,51.0,53.1419,34.2419,41.730648,49.925606,26.611027,34.160862,0,0,34187.227,30240.883,0.003937008,0.003937008,0.0,1.0,16.943705,29.7521,305.10846,9.78,0.06552063,61209cf8-2f1c-16c8-aca0-467e502065e6,b0d4707e-3522-f1ee-dc42-aaa2ebaa4caf
2022-12-05 00:00:00+00:00,1.0,46.9319,29.561901,35.636898,39.639797,22.052046,29.555109,0,0,34123.42,30212.791,0.0,0.0,0.0,0.0,7.2831445,10.7376,205.25932,9.14,0.043706987,61209cf8-2f1c-16c8-aca0-467e502065e6,b0d4707e-3522-f1ee-dc42-aaa2ebaa4caf
2022-12-02 00:00:00+00:00,51.0,52.7828,34.9628,45.241558,48.729076,29.579418,41.87421,0,0,35127.04,26778.207,0.011811024,0.011811024,0.0,2.0,6.6095686,11.6324,255.5296,10.47,0.04784407,853bd78b-9470-a57c-d440-3c61147059d3,665189cd-6c53-0483-20d0-a4c0d8b0e5e5
2022-12-03 00:00:00+00:00,61.0,56.4728,42.7028,48.3428,55.374763,39.125637,45.7395,0,0,35062.637,3989.1436,0.27952754,0.27952754,0.0,11.0,6.3153167,12.3035,358.9258,2.82,0.019216515,853bd78b-9470-a57c-d440-3c61147059d3,665189cd-6c53-0483-20d0-a4c0d8b0e5e5
2022-12-04 00:00:00+00:00,55.0,58.5428,46.6628,51.376556,55.535915,42.22025,48.10359,0,0,35001.445,25714.182,0.33070862,0.33070862,0.0,11.0,9.204379,16.7775,151.32416,7.79,0.04584899,853bd78b-9470-a57c-d440-3c61147059d3,665189cd-6c53-0483-20d0-a4c0d8b0e5e5
2022-12-05 00:00:00+00:00,63.0,58.9928,46.7528,51.751556,56.427376,42.740498,48.52606,0,0,34943.6,29289.406,0.36614174,0.36614174,0.0,7.0,8.0656185,15.4353,137.43874,8.89,0.050771933,853bd78b-9470-a57c-d440-3c61147059d3,665189cd-6c53-0483-20d0-a4c0d8b0e5e5
2022-12-02 00:00:00+00:00,53.0,58.3934,52.9034,55.479645,55.592323,47.811005,51.304535,0,0,36176.188,0.0,0.18110234,0.18110234,0.0,16.0,12.750899,19.0145,98.463974,2.19,0.04038111,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,f797a7d1-0e13-374c-f4a8-a62a4793b0d3
2022-12-03 00:00:00+00:00,53.0,64.5134,50.9234,57.0509,63.972237,48.28202,55.409145,0,0,36120.26,28203.969,0.047244094,0.047244094,0.0,3.0,13.030404,20.8041,310.78766,11.05,0.06332703,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,f797a7d1-0e13-374c-f4a8-a62a4793b0d3
2022-12-04 00:00:00+00:00,61.0,62.6234,54.4334,58.007145,61.604893,52.42034,57.05667,0,0,36067.145,7876.342,0.13385826,0.13385826,0.0,4.0,10.580324,20.580399,266.89203,3.98,0.02799369,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,f797a7d1-0e13-374c-f4a8-a62a4793b0d3
2022-12-05 00:00:00+00:00,51.0,60.6434,50.833397,57.452152,62.598156,48.749367,56.53894,0,0,36016.94,26909.127,0.055118106,0.055118106,0.0,10.0,11.584982,19.238201,266.57324,9.95,0.057098504,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,f797a7d1-0e13-374c-f4a8-a62a4793b0d3
2022-12-02 00:00:00+00:00,3.0,60.601997,46.832,55.644505,54.47756,38.60311,46.578243,0,0,35537.805,32136.227,0.0,0.0,0.0,0.0,29.2842,42.9504,209.70757,10.29,0.14154173,91767679-1ab0-bbe6-da69-ece3c334c9c1,29920038-0361-4ac9-7573-3e69b8ec5d08
2022-12-03 00:00:00+00:00,51.0,62.042,49.982,55.010742,55.473713,45.445644,49.989838,0,0,35476.742,28682.96,0.015748031,0.015748031,0.0,1.0,7.499791,13.6456995,74.67302,10.54,0.079907015,91767679-1ab0-bbe6-da69-ece3c334c9c1,29920038-0361-4ac9-7573-3e69b8ec5d08
2022-12-04 00:00:00+00:00,2.0,65.012,41.882,51.406998,61.75948,36.813576,46.43048,0,0,35418.74,32003.188,0.0,0.0,0.0,0.0,9.621701,17.0012,0.16752209,10.29,0.0701344,91767679-1ab0-bbe6-da69-ece3c334c9c1,29920038-0361-4ac9-7573-3e69b8ec5d08
2022-12-05 00:00:00+00:00,1.0,64.562,49.262,56.510754,59.94744,42.49649,48.75601,0,0,35363.91,28042.477,0.0,0.0,0.0,0.0,15.972242,25.7255,186.65433,9.48,0.11892794,91767679-1ab0-bbe6-da69-ece3c334c9c1,29920038-0361-4ac9-7573-3e69b8ec5d08
2022-12-02 00:00:00+00:00,3.0,53.467697,29.5277,38.861454,44.849716,21.223219,30.438446,0,0,34584.273,14888.124,0.0,0.0,0.0,0.0,14.436886,27.9625,175.42345,4.59,0.06392481,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,203fe8eb-1b38-67d8-bd23-83971aa42866
2022-12-03 00:00:00+00:00,61.0,56.3477,36.1877,50.010204,50.176647,28.039848,41.996746,0,0,34515.4,27938.236,0.19291337,0.19291337,0.0,8.0,19.09984,37.581596,240.323,9.88,0.073753774,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,203fe8eb-1b38-67d8-bd23-83971aa42866
2022-12-04 00:00:00+00:00,1.0,42.0377,23.1377,30.911448,34.689613,16.570017,23.76133,0,0,34449.953,30835.498,0.0,0.0,0.0,0.0,6.4524946,13.869399,270.4547,10.4,0.045171157,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,203fe8eb-1b38-67d8-bd23-83971aa42866
2022-12-05 00:00:00+00:00,51.0,47.527702,26.8277,35.09645,40.914185,19.941912,27.866539,0,0,34388.082,14400.0,0.003937008,0.003937008,0.0,1.0,7.8135056,14.5405,170.13876,5.82,0.043671817,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,203fe8eb-1b38-67d8-bd23-83971aa42866
2022-12-02 00:00:00+00:00,51.0,71.006,48.956,55.852253,68.94056,43.349995,50.77042,0,0,36511.227,11287.781,0.047244094,0.047244094,0.0,5.0,19.229094,31.0943,183.22763,5.9,0.059000324,2306aea9-d518-6e5f-74ca-cad97e075cc8,0aae7870-f3f0-f49c-96ef-4c6f14214212
2022-12-03 00:00:00+00:00,1.0,63.716,44.906,54.611008,62.050434,35.442013,48.115376,0,0,36457.973,32653.3,0.0,0.0,0.0,0.0,19.686872,30.8706,345.0413,12.78,0.08991595,2306aea9-d518-6e5f-74ca-cad97e075cc8,0aae7870-f3f0-f49c-96ef-4c6f14214212
2022-12-04 00:00:00+00:00,3.0,56.516,45.086,50.313496,52.459785,39.144318,44.661724,0,0,36407.387,11886.436,0.0,0.0,0.0,0.0,7.109297,14.764199,29.99258,5.87,0.06525193,2306aea9-d518-6e5f-74ca-cad97e075cc8,0aae7870-f3f0-f49c-96ef-4c6f14214212
2022-12-05 00:00:00+00:00,51.0,76.766,51.566,61.58225,74.93087,47.943863,58.44396,0,0,36359.582,24639.418,0.011811024,0.011811024,0.0,2.0,21.743826,34.8972,201.29376,9.42,0.08279806,2306aea9-d518-6e5f-74ca-cad97e075cc8,0aae7870-f3f0-f49c-96ef-4c6f14214212
2022-12-03 00:00:00+00:00,2.0,78.413,61.852997,69.19924,79.41768,63.194283,70.66233,0,0,37718.918,34191.656,0.0,0.0,0.0,0.0,10.851179,17.896,59.237373,12.72,0.1056295,32eb50ec-dc98-07d4-1c17-dbb6583bd1a0,391844b5-9a27-b21a-6abd-a3d0af4b5d4b
2022-12-04 00:00:00+00:00,1.0,77.783,59.243,67.75174,79.98564,60.272255,69.79783,0,0,37677.66,33950.023,0.0,0.0,0.0,0.0,9.996662,17.896,357.3338,13.55,0.10249273,32eb50ec-dc98-07d4-1c17-dbb6583bd1a0,391844b5-9a27-b21a-6abd-a3d0af4b5d4b
2022-12-05 00:00:00+00:00,3.0,76.702995,61.493,67.93925,79.8876,63.394493,70.720116,0,0,37638.676,33432.008,0.0,0.0,0.0,0.0,5.956472,10.7376,350.35202,12.81,0.09270539,32eb50ec-dc98-07d4-1c17-dbb6583bd1a0,391844b5-9a27-b21a-6abd-a3d0af4b5d4b
2022-12-06 00:00:00+00:00,3.0,79.223,63.113,69.510506,81.767494,65.926285,72.66065,0,0,37602.05,33997.008,0.0,0.0,0.0,0.0,7.02076,11.184999,34.143642,12.67,0.09710104,32eb50ec-dc98-07d4-1c17-dbb6583bd1a0,391844b5-9a27-b21a-6abd-a3d0af4b5d4b
2022-12-06 00:00:00+00:00,3.0,59.3834,48.583397,53.938396,56.430237,43.369766,50.200817,0,0,35969.76,31742.46,0.0,0.0,0.0,0.0,10.399043,18.119701,73.53988,9.31,0.05918534,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,a4dedd4c-fd30-cc3f-2a52-debda2150bf0
2022-12-07 00:00:00+00:00,1.0,58.8434,43.6334,51.905895,55.99096,39.27643,48.669262,0,0,35925.723,31865.229,0.0,0.0,0.0,0.0,8.704201,14.093101,331.81268,11.13,0.06264281,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,a4dedd4c-fd30-cc3f-2a52-debda2150bf0
2022-12-08 00:00:00+00:00,0.0,58.2134,42.1934,50.188396,54.222088,35.92205,45.692272,0,0,35884.934,32075.547,0.0,0.0,0.0,0.0,13.711551,21.0278,339.5565,11.92,0.06837795,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,a4dedd4c-fd30-cc3f-2a52-debda2150bf0
2022-12-09 00:00:00+00:00,1.0,59.7434,41.2034,50.124653,55.888145,35.13767,45.350346,0,0,35847.41,32117.164,0.0,0.0,0.0,0.0,11.8561,21.4752,338.27426,11.87,0.07007175,0f3829c8-d3ea-c341-b9ff-83b6221e32c9,a4dedd4c-fd30-cc3f-2a52-debda2150bf0
2022-11-04 00:00:00+00:00,3.0,68.3906,45.620598,55.723095,68.274826,43.310223,54.756,0,0,37142.957,32680.475,0.0,0.0,0.0,0.0,8.084209,15.8827,198.30853,10.74,0.06439221,517ef781-ea28-c56c-e788-cb4480e53e86,83042baf-7ecc-a0d8-0c0a-9a2f5c0cb5c9
2022-11-05 00:00:00+00:00,2.0,73.1606,59.210598,64.34435,72.95551,59.180855,63.821712,0,0,37003.406,32771.336,0.0,0.0,0.0,0.0,16.847446,28.8573,184.44176,10.43,0.07595978,517ef781-ea28-c56c-e788-cb4480e53e86,83042baf-7ecc-a0d8-0c0a-9a2f5c0cb5c9
2022-11-06 00:00:00+00:00,63.0,74.3306,63.890602,67.69309,74.779305,62.3249,66.97693,0,0,36864.918,17512.63,0.122047246,0.122047246,0.0,3.0,13.653032,25.7255,190.04195,6.2,0.070562154,517ef781-ea28-c56c-e788-cb4480e53e86,83042baf-7ecc-a0d8-0c0a-9a2f5c0cb5c9
2022-11-07 00:00:00+00:00,51.0,75.0506,64.0706,68.48435,75.10451,56.54002,67.12383,0,0,36727.656,32943.605,0.027559055,0.027559055,0.0,4.0,11.8561,21.9226,241.29834,11.39,0.109451815,517ef781-ea28-c56c-e788-cb4480e53e86,83042baf-7ecc-a0d8-0c0a-9a2f5c0cb5c9
2022-12-09 00:00:00+00:00,55.0,52.9277,38.9777,44.962704,50.773552,33.414944,40.460636,0,0,34179.047,24236.617,0.07480315,0.07480315,0.0,4.0,7.074015,14.5405,73.90084,6.09,0.03213905,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,2e8e26f0-2e06-52e1-bd0b-7de81f48da6e
2022-12-10 00:00:00+00:00,51.0,51.1277,38.8877,45.2327,46.93961,34.92444,41.85139,0,0,34136.2,2966.1426,0.003937008,0.003937008,0.0,1.0,5.8547893,12.079801,161.56445,3.56,0.023765685,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,2e8e26f0-2e06-52e1-bd0b-7de81f48da6e
2022-12-11 00:00:00+00:00,3.0,47.3477,41.0477,44.808956,43.6941,35.156467,40.180805,0,0,34096.727,1185.9896,0.0,0.0,0.0,0.0,7.6973605,15.8827,299.61606,3.91,0.026359338,9120b2bd-c9aa-d64b-8caf-03c8bc95d915,2e8e26f0-2e06-52e1-bd0b-7de81f48da6e
